,generator,pi_type,cohesion,UC m,UC b,LC m,LC b,LOBF m,LOBF b
0,slate-CS-C,U,full,999.9961853027344,-499.4980926513672,-999.9961853027344,500.4980926513672,4.665842933928105,-1.4563529564811866
1,slate-CS-C,U,polarized,999.9961853027344,-499.4980926513672,-999.9961853027344,500.4980926513672,4.690116609902083,-1.4619050318409637
2,slate-CS-C,XA,full,999.9961853027344,-499.4980926513672,-999.9961853027344,500.4980926513672,3.320776966442941,-0.8424336772085396
3,slate-CS-C,XA,polarized,999.9961853027344,-499.4980926513672,-999.9961853027344,500.4980926513672,3.2172273565446314,-0.7914913223019273
4,slate-CS-C,XB,full,999.9961853027344,-499.4980926513672,-999.9961853027344,500.4980926513672,3.644314290705564,-1.0377113898021812
5,slate-CS-C,XB,polarized,999.9961853027344,-499.4980926513672,-999.9961853027344,500.4980926513672,3.6622930694556737,-1.0403023541306555
6,slate-CS-C,BX,full,999.9961853027344,-499.4980926513672,-999.9961853027344,500.4980926513672,4.151324319331301,-1.227666152179869
7,slate-CS-C,BX,polarized,999.9961853027344,-499.4980926513672,-999.9961853027344,500.4980926513672,4.177073413121075,-1.236840395272799
8,slate-CS-C,AX,full,999.9961853027344,-499.4980926513672,-999.9961853027344,500.4980926513672,3.0338514046649614,-0.736559188237607
9,slate-CS-C,AX,polarized,999.9961853027344,-499.4980926513672,-999.9961853027344,500.4980926513672,2.9756211035654476,-0.698173053381578
10,slate-CS-C,X,full,999.9961853027344,-499.4980926513672,-999.9961853027344,500.4980926513672,2.4455292799412756,-0.4945428963748345
11,slate-CS-C,X,polarized,999.9961853027344,-499.4980926513672,-999.9961853027344,500.4980926513672,2.3014319329966897,-0.4341019082053777
12,slate-CS-W,U,full,3.902435302734375,-1.4512176513671875,-1.720428466796875,1.3602142333984375,4.767288710402751,-2.058842362078672
13,slate-CS-W,U,polarized,3.963470458984375,-1.4817352294921875,-0.545501708984375,0.7727508544921875,4.574927796609714,-1.9445845275872333
