,generator,pi_type,cohesion,UC m,UC b,LC m,LC b,LOBF m,LOBF b
0,slate-CS-C,U,full,1.590728759765625,-0.2953643798828125,-0.362396240234375,0.6811981201171875,0.8890215927710458,0.006507722132995945
1,slate-CS-C,U,polarized,1.529693603515625,-0.2648468017578125,-0.133514404296875,0.5667572021484375,0.8831361334837475,0.009941192517385565
2,slate-CS-C,XA,full,1.850128173828125,-0.4250640869140625,0.003814697265625,0.4980926513671875,0.6348574812219142,0.18339224704336404
3,slate-CS-C,XA,polarized,1.644134521484375,-0.3220672607421875,0.003814697265625,0.4980926513671875,0.5957554663565106,0.20684911867359665
4,slate-CS-C,XB,full,0.972747802734375,0.0136260986328125,-2.666473388671875,1.8332366943359375,0.6258487045959676,0.10562708803123463
5,slate-CS-C,XB,polarized,0.949859619140625,0.0250701904296875,-1.590728759765625,1.2953643798828125,0.6112446181785322,0.11305824646628947
6,slate-CS-C,BX,full,1.110076904296875,-0.0550384521484375,-1.628875732421875,1.3144378662109375,0.6549334047143951,0.10053741286914017
7,slate-CS-C,BX,polarized,0.995635986328125,0.0021820068359375,-2.666473388671875,1.8332366943359375,0.6518998522094253,0.09661951833973177
8,slate-CS-C,AX,full,1.811981201171875,-0.4059906005859375,-0.431060791015625,0.7155303955078125,0.654042439285541,0.1605713729498223
9,slate-CS-C,AX,polarized,1.590728759765625,-0.2953643798828125,-0.095367431640625,0.5476837158203125,0.6297580840278322,0.1857366987268246
10,slate-CS-C,X,full,1.445770263671875,-0.2228851318359375,-1.277923583984375,1.1389617919921875,0.4357713210363231,0.2493056975065298
11,slate-CS-C,X,polarized,1.110076904296875,-0.0550384521484375,-0.789642333984375,0.8948211669921875,0.401907285463179,0.26609265356470674
12,slate-CS-W,U,full,3.330230712890625,-1.1651153564453125,0.217437744140625,0.3912811279296875,0.8638239159001319,0.11723824781125121
13,slate-CS-W,U,polarized,2.887725830078125,-0.9438629150390625,0.301361083984375,0.3493194580078125,0.8164114582877866,0.14396556715240308
14,slate-CS-W,XA,full,3.559112548828125,-1.2795562744140625,0.194549560546875,0.4027252197265625,0.6203776707061861,0.27229058851521976
15,slate-CS-W,XA,polarized,3.505706787109375,-1.2528533935546875,0.232696533203125,0.3836517333984375,0.5978463969124306,0.28830365339563657
16,slate-CS-W,XB,full,2.643585205078125,-0.8217926025390625,0.003814697265625,0.4980926513671875,0.6223672555604226,0.18999126933913038
17,slate-CS-W,XB,polarized,2.384185791015625,-0.6920928955078125,0.003814697265625,0.4980926513671875,0.6200205216103634,0.1817999243800035
18,slate-CS-W,BX,full,3.032684326171875,-1.0163421630859375,0.003814697265625,0.4980926513671875,0.6468525818854336,0.18487617819308572
19,slate-CS-W,BX,polarized,2.063751220703125,-0.5318756103515625,0.003814697265625,0.4980926513671875,0.6262743657685546,0.1889415208194264
20,slate-CS-W,AX,full,3.513336181640625,-1.2566680908203125,0.034332275390625,0.4828338623046875,0.6744799727454135,0.24008717412112066
21,slate-CS-W,AX,polarized,2.902984619140625,-0.9514923095703125,0.225067138671875,0.3874664306640625,0.6486239735551065,0.26292875396318754
22,slate-CS-W,X,full,2.780914306640625,-0.8904571533203125,0.003814697265625,0.4980926513671875,0.43720802712480356,0.31771903170508803
23,slate-CS-W,X,polarized,2.384185791015625,-0.6920928955078125,0.003814697265625,0.4980926513671875,0.4137290739331821,0.32793175932970514
24,slate-BT,U,full,0.949859619140625,0.0250701904296875,-1.537322998046875,1.2686614990234375,1.0643613606434232,-0.15766010419002427
25,slate-BT,U,polarized,0.980377197265625,0.0098114013671875,-1.224517822265625,1.1122589111328125,1.084167503364826,-0.13850041834907975
26,slate-BT,XA,full,0.942230224609375,0.0288848876953125,-1.461029052734375,1.2305145263671875,1.033204353716098,-0.12889024270167024
27,slate-BT,XA,polarized,0.965118408203125,0.0174407958984375,-1.071929931640625,1.0359649658203125,1.069799731474483,-0.13014523610761178
28,slate-BT,XB,full,0.911712646484375,0.0441436767578125,-1.621246337890625,1.3106231689453125,1.001204561157757,-0.13034919415912538
29,slate-BT,XB,polarized,0.926971435546875,0.0365142822265625,-1.171112060546875,1.0855560302734375,1.0352958881292798,-0.12130998110167707
30,slate-BT,BX,full,0.888824462890625,0.0555877685546875,-1.636505126953125,1.3182525634765625,1.0047657746099095,-0.13360510952717689
