,generator,pi_type,cohesion,Average S-C stv,Average S-C borda,Average |S-C| stv,Average |S-C| borda
0,slate-CS-C,UU,full,-0.0558,-0.1781,0.0841,0.1882
1,slate-CS-C,UU,polarized,-0.0523,-0.1812,0.0849,0.1914
2,slate-CS-C,UX,full,-0.0798,-0.1585,0.1082,0.1745
3,slate-CS-C,UX,polarized,-0.0792,-0.1544,0.1195,0.1856
4,slate-CS-C,XXsame,full,-0.0928,-0.1498,0.1138,0.1724
5,slate-CS-C,XXsame,polarized,-0.0921,-0.1551,0.1136,0.1772
6,slate-CS-C,XXdif,full,-0.0753,-0.1324,0.1089,0.1594
7,slate-CS-C,XXdif,polarized,-0.0667,-0.1426,0.1129,0.1759
8,slate-CS-W,UU,full,0.0471,0.1654,0.082,0.1787
9,slate-CS-W,UU,polarized,0.0367,0.1692,0.0866,0.1888
10,slate-CS-W,UX,full,0.0142,0.1331,0.0867,0.1664
11,slate-CS-W,UX,polarized,0.0097,0.1287,0.0916,0.1674
12,slate-CS-W,XXsame,full,-0.0177,0.0951,0.0822,0.1365
13,slate-CS-W,XXsame,polarized,-0.0224,0.0985,0.0933,0.1527
14,slate-CS-W,XXdif,full,0.0071,0.1189,0.0829,0.1572
15,slate-CS-W,XXdif,polarized,-0.0024,0.1176,0.0924,0.1696
16,slate-BT,UU,full,-0.0005,-0.0008,0.0751,0.0952
17,slate-BT,UU,polarized,-0.0063,-0.0032,0.0714,0.1106
18,slate-BT,UX,full,-0.0264,-0.007,0.0747,0.0838
19,slate-BT,UX,polarized,-0.0254,-0.0148,0.0708,0.0852
20,slate-BT,XXsame,full,-0.0309,-0.008,0.0688,0.0805
21,slate-BT,XXsame,polarized,-0.0206,-0.01,0.0616,0.0881
22,slate-BT,XXdif,full,-0.0288,-0.0038,0.0757,0.0771
23,slate-BT,XXdif,polarized,-0.0378,-0.0025,0.0713,0.076
24,slate-PL,UU,full,-0.0052,-0.0052,0.0837,0.1488
25,slate-PL,UU,polarized,-0.0075,-0.0097,0.0795,0.1619
26,slate-PL,UX,full,-0.0177,-0.0175,0.0819,0.1399
27,slate-PL,UX,polarized,-0.0157,-0.0208,0.0785,0.1621
28,slate-PL,XXsame,full,-0.0265,-0.001,0.0695,0.0997
29,slate-PL,XXsame,polarized,-0.0139,0.0099,0.0684,0.1194
30,slate-PL,XXdif,full,-0.0106,0.0056,0.0732,0.1196
31,slate-PL,XXdif,polarized,-0.0135,0.0138,0.0743,0.1418
